year_month,month_of_release,passenger_type,direction,sex,age,estimate,standard_error,status
2020-07,2021-09,Long-term migrant,Arrivals,Female,5-9 years,111,1,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,5-9 years,125,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,50-54 years,97,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,50-54 years,92,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,55-59 years,100,1,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,55-59 years,98,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,60-64 years,111,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,60-64 years,73,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,65-69 years,48,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,65-69 years,75,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,70-74 years,22,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,70-74 years,29,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,75-79 years,6,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,75-79 years,8,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,80-84 years,8,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,80-84 years,5,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,85-89 years,2,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,90+ years,1,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,90+ years,1,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,0-4 years,91,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,0-4 years,81,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,10-14 years,59,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,10-14 years,54,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,15-19 years,94,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,15-19 years,94,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,20-24 years,319,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,20-24 years,269,1,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,25-29 years,444,1,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,25-29 years,417,1,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,30-34 years,248,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,30-34 years,319,1,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,35-39 years,152,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,35-39 years,171,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,40-44 years,88,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,40-44 years,96,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,45-49 years,69,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,45-49 years,69,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,5-9 years,74,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,5-9 years,84,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,50-54 years,63,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,50-54 years,71,1,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,55-59 years,46,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,55-59 years,50,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,60-64 years,44,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,60-64 years,35,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,65-69 years,37,1,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,65-69 years,27,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,70-74 years,13,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,70-74 years,17,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,75-79 years,7,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,75-79 years,5,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,80-84 years,1,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,80-84 years,4,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,85-89 years,1,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,0-4 years,40,1,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,0-4 years,86,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,10-14 years,32,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,10-14 years,46,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,15-19 years,3,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,15-19 years,3,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,20-24 years,-162,1,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,20-24 years,-118,1,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,25-29 years,-152,1,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,25-29 years,-170,1,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,30-34 years,-10,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,30-34 years,-105,1,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,35-39 years,16,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,35-39 years,-16,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,40-44 years,31,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,40-44 years,20,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,45-49 years,50,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,45-49 years,44,1,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,5-9 years,37,1,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,5-9 years,41,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,50-54 years,34,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,50-54 years,22,1,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,55-59 years,54,1,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,55-59 years,48,1,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,60-64 years,67,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,60-64 years,38,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,65-69 years,12,1,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,65-69 years,48,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,70-74 years,9,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,70-74 years,12,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,75-79 years,-1,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,75-79 years,3,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,80-84 years,7,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,80-84 years,1,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,85-89 years,2,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,85-89 years,-1,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,90+ years,1,0,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,90+ years,1,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,0-4 years,298,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,10-14 years,191,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,15-19 years,194,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,20-24 years,307,1,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,25-29 years,539,1,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,30-34 years,452,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,35-39 years,323,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,40-44 years,235,1,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,45-49 years,232,1,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,5-9 years,236,1,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,50-54 years,190,1,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,55-59 years,198,1,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,60-64 years,184,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,65-69 years,123,1,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,70-74 years,51,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,75-79 years,14,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,80-84 years,13,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,85-89 years,2,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,0-4 years,172,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,10-14 years,113,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,15-19 years,188,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,20-24 years,588,1,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,25-29 years,861,1,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,30-34 years,567,1,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,35-39 years,323,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,40-44 years,184,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,45-49 years,138,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,5-9 years,158,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,50-54 years,134,1,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,55-59 years,96,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,60-64 years,79,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,65-69 years,63,1,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,70-74 years,30,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,75-79 years,12,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,80-84 years,5,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,85-89 years,1,0,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,0-4 years,126,1,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,10-14 years,78,1,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,15-19 years,6,1,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,20-24 years,-281,1,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,25-29 years,-323,1,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,30-34 years,-115,1,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,35-39 years,0,0,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,40-44 years,51,1,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,45-49 years,94,1,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,5-9 years,78,1,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,50-54 years,56,1,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,55-59 years,102,1,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,60-64 years,105,0,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,65-69 years,60,1,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,70-74 years,21,0,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,75-79 years,2,0,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,80-84 years,8,0,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,85-89 years,1,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,90+ years,2,0,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,90+ years,0,0,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,90+ years,2,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,TOTAL,1919,2,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,TOTAL,1866,2,Provisional
2020-07,2021-09,Long-term migrant,Departures,Female,TOTAL,1850,1,Provisional
2020-07,2021-09,Long-term migrant,Departures,Male,TOTAL,1863,2,Provisional
2020-07,2021-09,Long-term migrant,Net,Female,TOTAL,70,2,Provisional
2020-07,2021-09,Long-term migrant,Net,Male,TOTAL,3,2,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,TOTAL,TOTAL,3785,3,Provisional
2020-07,2021-09,Long-term migrant,Departures,TOTAL,TOTAL,3713,2,Provisional
2020-07,2021-09,Long-term migrant,Net,TOTAL,TOTAL,72,4,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,0-4 years,174,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,0-4 years,227,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,10-14 years,119,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,10-14 years,127,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,15-19 years,86,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,15-19 years,80,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,20-24 years,200,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,20-24 years,197,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,25-29 years,441,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,25-29 years,352,2,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,30-34 years,396,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,30-34 years,349,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,35-39 years,220,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,35-39 years,220,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,40-44 years,153,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,40-44 years,178,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,45-49 years,113,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,45-49 years,150,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,5-9 years,160,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,5-9 years,150,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,50-54 years,110,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,50-54 years,132,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,55-59 years,113,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,55-59 years,114,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,60-64 years,125,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,60-64 years,108,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,65-69 years,65,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,65-69 years,69,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,70-74 years,34,1,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,70-74 years,29,0,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,75-79 years,13,0,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,75-79 years,10,0,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,80-84 years,9,0,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,80-84 years,5,0,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Female,85-89 years,3,0,Provisional
2020-08,2021-09,Long-term migrant,Arrivals,Male,85-89 years,2,0,Provisional
2020-08,2021-09,Long-term migrant,Departures,Female,0-4 years,84,0,Provisional
